Title,Category,SubCategory,Frequency,ParentExists,Child,Discontinued
"CPI - Oils and Fats (Urban, 2012 series)",Inflation,CPI,Monthly,Y,N,N
CPI - Oilseeds (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Onion (2012 series),Inflation,CPI,Monthly,Y,N,N
"CPI - Orange, mausami (2012 series)",Inflation,CPI,Monthly,Y,N,N
"CPI - Other beverages: cocoa, chocolate, etc. (2012 series)",Inflation,CPI,Monthly,Y,N,N
CPI - Other cereals (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Other consumer services excluding conveyance (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Other conveyance expenses (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Other cooking/ household appliances (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Other crockery & utensils (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Other dry fruits (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Other durables (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Other educational expenses (incl. fees for enrollment in web-based training) (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Other entertainment (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Other footwear (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Other fresh fruits (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Other fuel (2012 series),Inflation,CPI,Monthly,Y,N,N
"CPI - Other furniture & fixtures (couch, sofa, etc.) (2012 series)",Inflation,CPI,Monthly,Y,N,N
CPI - Other intoxicants (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Other leather footwear (2012 series),Inflation,CPI,Monthly,Y,N,N
"CPI - Other meat: birds, crab, oyster, tortoise, etc. (2012 series)",Inflation,CPI,Monthly,Y,N,N
CPI - Other medical expenses (non-institutional) (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Other metal utensils (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Other milk products (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Other nuts (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Other ornaments (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Other packaged processed food (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Other petty articles (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Other pulse products (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Other pulses (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Other rice products (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Other tobacco products (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Other vegetables (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Other washing requisites (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Palak/other leafy vegetables (2012 series),Inflation,CPI,Monthly,Y,N,N
"CPI - Pan, Tobacco, Intoxicants (2012 series)",Inflation,CPI,Monthly,Y,Y,N
"CPI - Pan, Tobacco, Intoxicants (Rural, 2012 series)",Inflation,CPI,Monthly,Y,N,N
"CPI - Pan, Tobacco, Intoxicants (Urban, 2012 series)",Inflation,CPI,Monthly,Y,N,N
CPI - Pan: finished (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Pan: leaf (2012 series),Inflation,CPI,Monthly,Y,N,N
"CPI - Papad, bhujia, namkeen, mixture, chanachur (2012 series)",Inflation,CPI,Monthly,Y,N,N
CPI - Papaya (2012 series),Inflation,CPI,Monthly,Y,N,N
"CPI - Parwal/patal, kundru (2012 series)",Inflation,CPI,Monthly,Y,N,N
CPI - PC/ Laptop/ other peripherals incl. software (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Pears/nashpati (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Peas (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Peas (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Personal Care and Effects (2012 series),Inflation,CPI,Monthly,Y,Y,N
"CPI - Personal Care and Effects (Rural, 2012 series)",Inflation,CPI,Monthly,Y,N,N
"CPI - Personal Care and Effects (Urban, 2012 series)",Inflation,CPI,Monthly,Y,N,N
CPI - Petrol for vehicle (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Photography (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Pickles (2012 series),Inflation,CPI,Monthly,Y,N,N
"CPI - Pillow, quilt, mattress (2012 series)",Inflation,CPI,Monthly,Y,N,N
CPI - Pineapple (2012 series),Inflation,CPI,Monthly,Y,N,N
"CPI - Plugs, switches & other electrical fittings (2012 series)",Inflation,CPI,Monthly,Y,N,N
CPI - Pork (2012 series),Inflation,CPI,Monthly,Y,N,N
CPI - Porter charges (2012 series),Inflation,CPI,Monthly,Y,N,N
